,Pred_Price,Pred_P10,Pred_P90,Charge_MW,Discharge_MW,SOC_MWh,Action
2026-06-03 00:00:00+02:00,48.02554519427191,35.57745451935133,49.56118502915355,7.524226348138352e-10,2.0216375524093216e-09,0.9999999985507871,Idle
2026-06-03 01:00:00+02:00,43.45267104078633,35.13756122063427,59.11765269757424,4.766143796871452e-10,0.8219167782698557,0.12383376943874498,DISCHARGE ⚡
2026-06-03 02:00:00+02:00,36.07353494816509,27.4262594835823,47.183827893918064,0.9999999311663509,4.0054426882736787e-10,1.0619168564047718,CHARGE 🔌
2026-06-03 03:00:00+02:00,37.67189437213119,26.335704521034387,46.23807316521395,0.9999999888873451,3.688295344640173e-10,1.9999999975516984,CHARGE 🔌
2026-06-03 04:00:00+02:00,38.89919835410356,34.22848155246685,57.30628320501096,1.515130270989233e-09,8.673432938330927e-10,1.9999999980490548,Idle
2026-06-03 05:00:00+02:00,42.86261045172424,37.473686149988154,57.784819910007315,2.6829563272137984e-09,5.842967716437764e-10,1.9999999999437608,Idle
2026-06-03 06:00:00+02:00,54.45231566391237,46.43876467013291,69.20012778004256,1.3337170018809883e-09,7.258641874384813e-10,2.000000000422061,Idle
2026-06-03 07:00:00+02:00,81.90374355378852,57.223571415211,96.83799398739657,3.3925409476338264e-10,0.8761663066644741,1.0660035796027325,DISCHARGE ⚡
2026-06-03 08:00:00+02:00,77.60442547022168,67.31092188255525,99.69079437098355,2.4659677410207173e-10,0.9999999987908652,-6.550497380514061e-10,DISCHARGE ⚡
2026-06-03 09:00:00+02:00,50.26471718841909,45.496363299157764,63.47337719339832,1.2682455921714168e-09,8.104382695362625e-10,-3.286316520958506e-10,Idle
2026-06-03 10:00:00+02:00,41.81278883884944,33.06468975728938,50.72755903649701,1.1392879545454196e-09,1.1802528031106621e-09,-5.171611988025549e-10,Idle
2026-06-03 11:00:00+02:00,27.55016797452143,18.030897139196988,34.08453729278693,1.4758922676404418e-09,1.4005685111886201e-09,-6.250545006461583e-10,Idle
2026-06-03 12:00:00+02:00,2.615378401926786,0.5364823679429609,15.379893575552199,0.13388305862632674,7.048044586950227e-10,0.12559344025450064,CHARGE 🔌
2026-06-03 13:00:00+02:00,-8.280944004787859,-12.815165715388716,15.851304332532532,0.9999999996284404,1.3735102889342174e-13,1.063676591929947,CHARGE 🔌
2026-06-03 14:00:00+02:00,2.3133184015371864,-7.686722995437384,24.229228327175584,0.9981241089747656,1.2085459262986941e-09,2.0000000008406222,CHARGE 🔌
2026-06-03 15:00:00+02:00,28.34767768648787,20.21282634499792,46.55235541022555,1.4568062957789382e-09,1.2351588045215776e-09,2.000000000892036,Idle
2026-06-03 16:00:00+02:00,55.313415717699314,54.09976648894488,68.23781664044007,9.712821144606983e-10,9.156213667036283e-10,2.0000000008277827,Idle
2026-06-03 17:00:00+02:00,89.03980198883062,81.16888663658847,95.1043470116876,4.236499260671997e-10,2.050563378204482e-09,1.999999999039756,Idle
2026-06-03 18:00:00+02:00,96.73397830495338,88.788307297185,106.20546338134983,2.942256789548925e-10,0.8761663034955535,1.0660035815562674,DISCHARGE ⚡
2026-06-03 19:00:00+02:00,106.97433462796796,93.60715363212014,111.61468352912651,1.737985990249541e-10,0.9999999995536643,4.1704708283888065e-10,DISCHARGE ⚡
2026-06-03 20:00:00+02:00,83.1680666585392,71.04010628340366,93.16088275692785,7.091424547661257e-10,8.354744953586114e-10,1.9269428225338438e-10,Idle
2026-06-03 21:00:00+02:00,69.6617627385527,60.97885845489583,82.04352988615267,1.411313135429447e-09,5.499589236562239e-10,9.313162739620311e-10,Idle
2026-06-03 22:00:00+02:00,60.62700497993522,51.63344536756004,72.38688033466343,0.06600358092047223,3.3429372991693443e-10,0.06191684780579329,CHARGE 🔌
2026-06-03 23:00:00+02:00,41.77184676081247,36.660506978490616,53.187128097511305,1.0000000001896423,0.0,1.0,CHARGE 🔌
